Oscilloscope Data File
Experiment Time :   16-12-2016 01:36:30
Number of frames: 174489

Module: E-14-140M (1D905555)

Number Of Channels : 10
Input Rate In kHz: 18.181818
Input Time In Sec: 9.596895
Decimation: 100
Number of frames after Decimation: 1744
Data Format: Calibr
Time markers scale: ñåêóíäû
GPS time=00:00:00 00-00-0000
GPS latitude=, latitude h=0
GPS longitude=, longitude h=0
Segments: 1
Data as Time Sequence:
                    Ch  1      Ch  2  
                 ÑÂÄ,       ÑÑÄ,      

        0.000 ,       249,       251
        0.006 ,       249,       251
        0.011 ,       249,       251
        0.017 ,       249,       251
        0.022 ,       249,       251
        0.028 ,       249,       251
        0.033 ,       249,       251
        0.039 ,       249,       251
        0.044 ,       249,       251
        0.050 ,       249,       251
        0.055 ,       248,       251
        0.061 ,       249,       251
        0.066 ,       249,       251
        0.072 ,       249,       251
        0.077 ,       248,       251
        0.083 ,       249,       251
        0.088 ,       249,       251
        0.094 ,       247,       251
        0.099 ,       249,       251
        0.105 ,       249,       251
        0.110 ,       250,       250
        0.116 ,       248,       251
        0.121 ,       248,       251
        0.127 ,       249,       251
        0.132 ,       249,       250
        0.138 ,       247,       251
        0.143 ,       248,       251
        0.149 ,       249,       251
        0.154 ,       249,       250
        0.160 ,       247,       251
        0.165 ,       248,       251
        0.171 ,       249,       251
        0.176 ,       250,       251
        0.182 ,       248,       251
        0.187 ,       248,       251
        0.193 ,       249,       251
        0.198 ,       249,       251
        0.204 ,       249,       251
        0.209 ,       248,       251
        0.215 ,       249,       251
        0.220 ,       250,       251
        0.226 ,       249,       251
        0.231 ,       249,       251
        0.237 ,       250,       251
        0.242 ,       247,       251
        0.248 ,       248,       251
        0.253 ,       249,       251
        0.259 ,       249,       250
        0.264 ,       249,       251
        0.270 ,       249,       251
        0.275 ,       249,       251
        0.281 ,       250,       251
        0.286 ,       249,       251
        0.292 ,       249,       251
        0.297 ,       250,       251
        0.303 ,       249,       251
        0.308 ,       249,       251
        0.314 ,       249,       251
        0.319 ,       249,       250
        0.325 ,       247,       251
        0.330 ,       248,       251
        0.336 ,       249,       251
        0.341 ,       250,       251
        0.347 ,       249,       251
        0.352 ,       248,       251
        0.358 ,       249,       251
        0.363 ,       250,       251
        0.369 ,       249,       251
        0.374 ,       249,       251
        0.380 ,       250,       250
        0.385 ,       247,       251
        0.391 ,       249,       251
        0.396 ,       249,       251
        0.402 ,       250,       251
        0.407 ,       248,       251
        0.413 ,       248,       251
        0.418 ,       249,       251
        0.424 ,       250,       251
        0.429 ,       249,       251
        0.435 ,       249,       251
        0.440 ,       249,       250
        0.446 ,       248,       251
        0.451 ,       249,       251
        0.457 ,       250,       250
        0.462 ,       248,       251
        0.468 ,       248,       251
        0.473 ,       249,       251
        0.479 ,       248,       251
        0.484 ,       249,       251
        0.490 ,       249,       251
        0.495 ,       249,       250
        0.501 ,       248,       251
        0.506 ,       249,       251
        0.512 ,       250,       250
        0.517 ,       248,       251
        0.523 ,       249,       251
        0.528 ,       250,       251
        0.534 ,       249,       251
        0.539 ,       249,       251
        0.545 ,       249,       251
        0.550 ,       250,       251
        0.556 ,       249,       251
        0.561 ,       248,       251
        0.567 ,       250,       251
        0.572 ,       248,       251
        0.578 ,       248,       251
        0.583 ,       249,       251
        0.589 ,       250,       250
        0.594 ,       248,       250
        0.600 ,       248,       251
        0.605 ,       249,       251
        0.611 ,       249,       250
        0.616 ,       248,       251
        0.622 ,       249,       251
        0.627 ,       249,       251
        0.633 ,       250,       251
        0.638 ,       248,       251
        0.644 ,       248,       251
        0.649 ,       250,       251
        0.655 ,       249,       250
        0.660 ,       248,       251
        0.666 ,       249,       251
        0.671 ,       249,       251
        0.677 ,       250,       251
        0.682 ,       248,       251
        0.688 ,       248,       251
        0.693 ,       249,       251
        0.699 ,       250,       251
        0.704 ,       248,       251
        0.710 ,       248,       251
        0.715 ,       249,       251
        0.721 ,       249,       250
        0.726 ,       248,       251
        0.732 ,       248,       251
        0.737 ,       249,       251
        0.743 ,       250,       251
        0.748 ,       248,       251
        0.754 ,       249,       251
        0.759 ,       250,       251
        0.765 ,       249,       251
        0.770 ,       248,       251
        0.776 ,       249,       251
        0.781 ,       249,       250
        0.787 ,       249,       251
        0.792 ,       249,       251
        0.798 ,       249,       251
        0.803 ,       248,       251
        0.809 ,       248,       251
        0.814 ,       249,       251
        0.820 ,       250,       250
        0.825 ,       248,       251
        0.831 ,       249,       251
        0.836 ,       249,       251
        0.842 ,       247,       251
        0.847 ,       248,       251
        0.853 ,       249,       251
        0.858 ,       250,       251
        0.864 ,       248,       251
        0.869 ,       248,       251
        0.875 ,       249,       251
        0.880 ,       250,       251
        0.886 ,       249,       251
        0.891 ,       249,       251
        0.897 ,       249,       251
        0.902 ,       247,       251
        0.908 ,       248,       251
        0.913 ,       249,       251
        0.919 ,       249,       250
        0.924 ,       248,       251
        0.930 ,       248,       251
        0.935 ,       249,       251
        0.941 ,       250,       251
        0.946 ,       247,       251
        0.952 ,       248,       251
        0.957 ,       249,       251
        0.963 ,       250,       250
        0.968 ,       248,       251
        0.974 ,       249,       251
        0.979 ,       249,       251
        0.985 ,       250,       251
        0.990 ,       248,       251
        0.996 ,       249,       251
        1.001 ,       249,       251
        1.007 ,       247,       251
        1.012 ,       248,       251
        1.018 ,       249,       251
        1.023 ,       249,       250
        1.029 ,       248,       251
        1.034 ,       249,       251
        1.040 ,       249,       251
        1.045 ,       250,       251
        1.051 ,       247,       251
        1.056 ,       248,       251
        1.062 ,       249,       251
        1.067 ,       250,       251
        1.073 ,       248,       251
        1.078 ,       248,       251
        1.084 ,       249,       251
        1.089 ,       250,       251
        1.095 ,       248,       251
        1.100 ,       248,       251
        1.106 ,       249,       251
        1.111 ,       250,       251
        1.117 ,       248,       251
        1.122 ,       249,       251
        1.128 ,       249,       251
        1.133 ,       250,       251
        1.139 ,       249,       251
        1.144 ,       249,       251
        1.150 ,       249,       251
        1.155 ,       249,       251
        1.161 ,       249,       251
        1.166 ,       249,       251
        1.172 ,       249,       250
        1.177 ,       248,       250
        1.183 ,       248,       251
        1.188 ,       249,       251
        1.194 ,       250,       251
        1.199 ,       248,       251
        1.205 ,       249,       251
        1.210 ,       249,       251
        1.216 ,       248,       251
        1.221 ,       249,       251
        1.227 ,       249,       251
        1.232 ,       249,       250
        1.238 ,       248,       251
        1.243 ,       249,       251
        1.249 ,       249,       251
        1.254 ,       250,       251
        1.260 ,       248,       251
        1.265 ,       248,       251
        1.271 ,       250,       251
        1.276 ,       250,       250
        1.282 ,       249,       251
        1.287 ,       248,       251
        1.293 ,       249,       251
        1.298 ,       250,       251
        1.304 ,       249,       251
        1.309 ,       248,       251
        1.315 ,       249,       251
        1.320 ,       250,       251
        1.326 ,       249,       251
        1.331 ,       249,       251
        1.337 ,       249,       251
        1.342 ,       249,       251
        1.348 ,       249,       251
        1.353 ,       249,       251
        1.359 ,       249,       251
        1.364 ,       247,       251
        1.370 ,       248,       251
        1.375 ,       249,       251
        1.381 ,       250,       250
        1.386 ,       248,       251
        1.392 ,       248,       251
        1.397 ,       249,       251
        1.403 ,       249,       251
        1.408 ,       248,       251
        1.414 ,       248,       251
        1.419 ,       249,       251
        1.425 ,       250,       251
        1.430 ,       249,       251
        1.436 ,       248,       251
        1.441 ,       249,       251
        1.447 ,       249,       250
        1.452 ,       249,       251
        1.458 ,       249,       251
        1.463 ,       249,       251
        1.469 ,       249,       251
        1.474 ,       248,       251
        1.480 ,       248,       251
        1.485 ,       249,       251
        1.491 ,       249,       251
        1.496 ,       248,       251
        1.502 ,       248,       251
        1.507 ,       249,       251
        1.513 ,       250,       251
        1.518 ,       247,       251
        1.524 ,       248,       251
        1.529 ,       249,       251
        1.535 ,       250,       250
        1.540 ,       248,       251
        1.546 ,       248,       251
        1.551 ,       249,       251
        1.557 ,       250,       251
        1.562 ,       248,       251
        1.568 ,       248,       251
        1.573 ,       249,       251
        1.579 ,       250,       250
        1.584 ,       247,       251
        1.590 ,       248,       251
        1.595 ,       249,       251
        1.601 ,       249,       251
        1.606 ,       248,       251
        1.612 ,       249,       251
        1.617 ,       249,       251
        1.623 ,       249,       251
        1.628 ,       248,       251
        1.634 ,       248,       251
        1.639 ,       249,       251
        1.645 ,       250,       251
        1.650 ,       250,       251
        1.656 ,       249,       251
        1.661 ,       249,       251
        1.667 ,       250,       251
        1.672 ,       250,       250
        1.678 ,       247,       251
        1.683 ,       248,       251
        1.689 ,       250,       251
        1.694 ,       250,       251
        1.700 ,       248,       251
        1.705 ,       248,       251
        1.711 ,       249,       251
        1.716 ,       249,       250
        1.722 ,       248,       251
        1.727 ,       249,       251
        1.733 ,       249,       251
        1.738 ,       250,       251
        1.744 ,       247,       250
        1.749 ,       248,       251
        1.755 ,       249,       251
        1.760 ,       249,       251
        1.766 ,       247,       251
        1.771 ,       248,       251
        1.777 ,       249,       251
        1.782 ,       250,       251
        1.788 ,       249,       251
        1.793 ,       248,       251
        1.799 ,       249,       251
        1.804 ,       250,       251
        1.810 ,       250,       250
        1.815 ,       248,       251
        1.821 ,       248,       251
        1.826 ,       250,       251
        1.832 ,       250,       251
        1.837 ,       248,       251
        1.843 ,       248,       251
        1.848 ,       249,       251
        1.854 ,       249,       251
        1.859 ,       248,       251
        1.865 ,       248,       251
        1.870 ,       249,       251
        1.876 ,       250,       251
        1.881 ,       247,       251
        1.887 ,       248,       251
        1.892 ,       249,       251
        1.898 ,       249,       251
        1.903 ,       248,       250
        1.909 ,       249,       251
        1.914 ,       249,       251
        1.920 ,       250,       250
        1.925 ,       247,       251
        1.931 ,       248,       251
        1.936 ,       249,       251
        1.942 ,       250,       251
        1.947 ,       247,       251
        1.953 ,       248,       251
        1.958 ,       249,       251
        1.964 ,       249,       250
        1.969 ,       247,       251
        1.975 ,       248,       251
        1.980 ,       249,       251
        1.986 ,       250,       250
        1.991 ,       248,       250
        1.997 ,       249,       251
        2.002 ,       249,       251
        2.008 ,       249,       251
        2.013 ,       248,       251
        2.019 ,       249,       251
        2.024 ,       249,       251
        2.030 ,       250,       251
        2.035 ,       248,       251
        2.041 ,       249,       251
        2.046 ,       250,       251
        2.052 ,       249,       251
        2.057 ,       249,       251
        2.063 ,       249,       251
        2.068 ,       250,       250
        2.074 ,       248,       251
        2.079 ,       248,       251
        2.085 ,       249,       251
        2.090 ,       250,       251
        2.096 ,       247,       251
        2.101 ,       248,       251
        2.107 ,       249,       251
        2.112 ,       249,       251
        2.118 ,       248,       251
        2.123 ,       248,       251
        2.129 ,       249,       251
        2.134 ,       250,       251
        2.140 ,       248,       251
        2.145 ,       249,       251
        2.151 ,       249,       251
        2.156 ,       249,       251
        2.162 ,       248,       251
        2.167 ,       249,       251
        2.173 ,       249,       251
        2.178 ,       250,       251
        2.184 ,       247,       251
        2.189 ,       248,       251
        2.195 ,       250,       251
        2.200 ,       249,       250
        2.206 ,       248,       251
        2.211 ,       248,       251
        2.217 ,       249,       251
        2.222 ,       250,       251
        2.228 ,       247,       251
        2.233 ,       248,       251
        2.239 ,       249,       251
        2.244 ,       250,       250
        2.250 ,       248,       251
        2.255 ,       248,       251
        2.261 ,       249,       251
        2.266 ,       249,       250
        2.272 ,       248,       251
        2.277 ,       248,       251
        2.283 ,       249,       251
        2.288 ,       250,       251
        2.294 ,       247,       251
        2.299 ,       248,       251
        2.305 ,       249,       251
        2.310 ,       249,       251
        2.316 ,       247,       251
        2.321 ,       249,       251
        2.327 ,       249,       251
        2.332 ,       250,       251
        2.338 ,       249,       250
        2.343 ,       249,       251
        2.349 ,       249,       251
        2.354 ,       249,       251
        2.360 ,       250,       251
        2.365 ,       247,       251
        2.371 ,       248,       251
        2.376 ,       249,       251
        2.382 ,       249,       250
        2.387 ,       248,       251
        2.393 ,       249,       251
        2.398 ,       249,       251
        2.404 ,       250,       251
        2.409 ,       248,       251
        2.415 ,       248,       251
        2.420 ,       249,       251
        2.426 ,       250,       251
        2.431 ,       247,       251
        2.437 ,       248,       251
        2.442 ,       249,       251
        2.448 ,       250,       251
        2.453 ,       247,       251
        2.459 ,       248,       251
        2.464 ,       249,       251
        2.470 ,       250,       250
        2.475 ,       248,       251
        2.481 ,       249,       251
        2.486 ,       249,       251
        2.492 ,       250,       251
        2.497 ,       248,       251
        2.503 ,       249,       251
        2.508 ,       249,       251
        2.514 ,       248,       251
        2.519 ,       249,       251
        2.525 ,       249,       251
        2.530 ,       249,       251
        2.536 ,       250,       251
        2.541 ,       249,       251
        2.547 ,       248,       251
        2.552 ,       249,       251
        2.558 ,       250,       251
        2.563 ,       248,       251
        2.569 ,       248,       251
        2.574 ,       249,       251
        2.580 ,       249,       251
        2.585 ,       248,       251
        2.591 ,       248,       251
        2.596 ,       249,       251
        2.602 ,       249,       251
        2.607 ,       250,       251
        2.613 ,       248,       251
        2.618 ,       249,       251
        2.624 ,       249,       251
        2.629 ,       249,       251
        2.635 ,       248,       251
        2.640 ,       248,       251
        2.646 ,       249,       251
        2.651 ,       250,       250
        2.657 ,       247,       251
        2.662 ,       249,       251
        2.668 ,       249,       251
        2.673 ,       249,       251
        2.679 ,       249,       250
        2.684 ,       248,       251
        2.690 ,       249,       251
        2.695 ,       249,       251
        2.701 ,       249,       251
        2.706 ,       247,       251
        2.712 ,       249,       251
        2.717 ,       249,       251
        2.723 ,       250,       251
        2.728 ,       249,       250
        2.734 ,       249,       251
        2.739 ,       249,       251
        2.745 ,       249,       251
        2.750 ,       250,       250
        2.756 ,       247,       251
        2.761 ,       248,       251
        2.767 ,       249,       251
        2.772 ,       249,       251
        2.778 ,       249,       251
        2.783 ,       249,       251
        2.789 ,       249,       251
        2.794 ,       249,       251
        2.800 ,       250,       251
        2.805 ,       248,       251
        2.811 ,       249,       251
        2.816 ,       249,       251
        2.822 ,       249,       251
        2.827 ,       250,       251
        2.833 ,       248,       251
        2.838 ,       248,       251
        2.844 ,       249,       251
        2.849 ,       250,       250
        2.855 ,       247,       251
        2.860 ,       249,       251
        2.866 ,       249,       251
        2.871 ,       249,       251
        2.877 ,       249,       251
        2.882 ,       248,       251
        2.888 ,       248,       251
        2.893 ,       249,       251
        2.899 ,       250,       251
        2.904 ,       249,       251
        2.910 ,       249,       251
        2.915 ,       249,       251
        2.921 ,       250,       251
        2.926 ,       248,       251
        2.932 ,       248,       251
        2.937 ,       249,       251
        2.943 ,       250,       251
        2.948 ,       248,       251
        2.954 ,       249,       251
        2.959 ,       249,       251
        2.965 ,       249,       251
        2.970 ,       248,       251
        2.976 ,       248,       251
        2.981 ,       249,       251
        2.987 ,       249,       251
        2.992 ,       248,       250
        2.998 ,       248,       251
        3.003 ,       249,       251
        3.009 ,       250,       251
        3.014 ,       247,       251
        3.020 ,       249,       251
        3.025 ,       249,       251
        3.031 ,       249,       251
        3.036 ,       250,       251
        3.042 ,       248,       251
        3.047 ,       248,       251
        3.053 ,       249,       251
        3.058 ,       250,       250
        3.064 ,       249,       251
        3.069 ,       248,       251
        3.075 ,       248,       251
        3.080 ,       249,       251
        3.086 ,       250,       251
        3.091 ,       248,       251
        3.097 ,       248,       251
        3.102 ,       249,       251
        3.108 ,       249,       250
        3.113 ,       248,       251
        3.119 ,       248,       251
        3.124 ,       249,       251
        3.130 ,       250,       251
        3.135 ,       247,       251
        3.141 ,       248,       251
        3.146 ,       249,       251
        3.152 ,       249,       251
        3.157 ,       249,       251
        3.163 ,       248,       251
        3.168 ,       249,       251
        3.174 ,       249,       251
        3.179 ,       250,       251
        3.185 ,       248,       251
        3.190 ,       249,       251
        3.196 ,       250,       251
        3.201 ,       249,       250
        3.207 ,       249,       251
        3.212 ,       248,       251
        3.218 ,       249,       251
        3.223 ,       250,       251
        3.229 ,       248,       251
        3.234 ,       248,       251
        3.240 ,       249,       251
        3.245 ,       250,       251
        3.251 ,       248,       251
        3.256 ,       248,       251
        3.262 ,       249,       251
        3.267 ,       250,       250
        3.273 ,       247,       251
        3.278 ,       249,       251
        3.284 ,       249,       251
        3.289 ,       249,       251
        3.295 ,       249,       250
        3.300 ,       248,       251
        3.306 ,       249,       251
        3.311 ,       249,       251
        3.317 ,       250,       251
        3.322 ,       248,       251
        3.328 ,       248,       251
        3.333 ,       249,       251
        3.339 ,       250,       250
        3.344 ,       247,       251
        3.350 ,       249,       251
        3.355 ,       249,       251
        3.361 ,       249,       251
        3.366 ,       250,       251
        3.372 ,       249,       251
        3.377 ,       249,       251
        3.383 ,       249,       251
        3.388 ,       249,       251
        3.394 ,       248,       251
        3.399 ,       249,       251
        3.405 ,       249,       251
        3.410 ,       249,       251
        3.416 ,       250,       251
        3.421 ,       248,       251
        3.427 ,       249,       251
        3.432 ,       249,       251
        3.438 ,       249,       250
        3.443 ,       247,       251
        3.449 ,       249,       251
        3.454 ,       249,       251
        3.460 ,       249,       251
        3.465 ,       250,       251
        3.471 ,       249,       251
        3.476 ,       248,       251
        3.482 ,       250,       251
        3.487 ,       249,       251
        3.493 ,       248,       251
        3.498 ,       249,       251
        3.504 ,       249,       251
        3.509 ,       250,       251
        3.515 ,       247,       251
        3.520 ,       248,       251
        3.526 ,       249,       251
        3.531 ,       249,       250
        3.537 ,       248,       251
        3.542 ,       248,       251
        3.548 ,       249,       251
        3.553 ,       249,       251
        3.559 ,       250,       251
        3.564 ,       248,       251
        3.570 ,       249,       251
        3.575 ,       249,       251
        3.581 ,       249,       251
        3.586 ,       248,       251
        3.592 ,       248,       251
        3.597 ,       249,       251
        3.603 ,       250,       251
        3.608 ,       248,       251
        3.614 ,       248,       251
        3.619 ,       249,       251
        3.625 ,       249,       251
        3.630 ,       247,       251
        3.636 ,       249,       251
        3.641 ,       249,       251
        3.647 ,       249,       251
        3.652 ,       249,       251
        3.658 ,       249,       250
        3.663 ,       249,       251
        3.669 ,       249,       251
        3.674 ,       250,       251
        3.680 ,       248,       251
        3.685 ,       249,       251
        3.691 ,       249,       251
        3.696 ,       250,       251
        3.702 ,       248,       251
        3.707 ,       248,       251
        3.713 ,       249,       251
        3.718 ,       249,       251
        3.724 ,       248,       251
        3.729 ,       249,       251
        3.735 ,       249,       251
        3.740 ,       250,       251
        3.746 ,       247,       251
        3.751 ,       249,       251
        3.757 ,       249,       251
        3.762 ,       249,       251
        3.768 ,       249,       251
        3.773 ,       248,       251
        3.779 ,       248,       251
        3.784 ,       250,       251
        3.790 ,       250,       251
        3.795 ,       247,       251
        3.801 ,       248,       251
        3.806 ,       249,       251
        3.812 ,       249,       251
        3.817 ,       248,       251
        3.823 ,       248,       251
        3.828 ,       249,       251
        3.834 ,       249,       251
        3.839 ,       249,       250
        3.845 ,       248,       251
        3.850 ,       248,       251
        3.856 ,       249,       251
        3.861 ,       250,       251
        3.867 ,       247,       251
        3.872 ,       249,       251
        3.878 ,       249,       251
        3.883 ,       249,       251
        3.889 ,       250,       251
        3.894 ,       248,       251
        3.900 ,       248,       251
        3.905 ,       249,       251
        3.911 ,       249,       250
        3.916 ,       247,       251
        3.922 ,       249,       251
        3.927 ,       249,       251
        3.933 ,       250,       251
        3.938 ,       250,       250
        3.944 ,       248,       251
        3.949 ,       248,       251
        3.955 ,       249,       251
        3.960 ,       250,       251
        3.966 ,       248,       251
        3.971 ,       248,       251
        3.977 ,       249,       251
        3.982 ,       249,       251
        3.988 ,       249,       251
        3.993 ,       248,       251
        3.999 ,       249,       251
        4.004 ,       250,       251
        4.010 ,       249,       251
        4.015 ,       248,       251
        4.021 ,       249,       251
        4.026 ,       249,       251
        4.032 ,       250,       251
        4.037 ,       248,       251
        4.043 ,       248,       251
        4.048 ,       249,       251
        4.054 ,       250,       251
