Oscilloscope Data File
Experiment Time :   13-12-2016 08:53:42
Number of frames: 46666

Module: E-14-140M (1D905555)

Number Of Channels : 8
Input Rate In kHz: 22.222221
Input Time In Sec: 2.099970
Decimation: 100
Number of frames after Decimation: 466
Data Format: Calibr
Time markers scale: ñåêóíäû
GPS time=00:00:00 00-00-0000
GPS latitude=, latitude h=0
GPS longitude=, longitude h=0
Segments: 1
Data as Time Sequence:
                    Ch  1      Ch  5      Ch  6      Ch  7      Ch  8  
                 ÑÂÄ,       ÐÊ 1,      ÐÊ 2,      ÐÊ 3,      ÐÊ 4,     

        0.000 ,        66,        68,        99,        78,        54
        0.005 ,        66,        68,        99,        78,        54
        0.009 ,        66,        68,        99,        79,        54
        0.014 ,        66,        69,        99,        78,        54
        0.018 ,        67,        69,        99,        78,        54
        0.023 ,        66,        69,        99,        78,        54
        0.027 ,        66,        68,        99,        78,        54
        0.032 ,        66,        68,        99,        78,        54
        0.036 ,        66,        68,        99,        78,        54
        0.041 ,        66,        68,        99,        78,        54
        0.045 ,        66,        68,        99,        79,        54
        0.050 ,        66,        68,        99,        78,        54
        0.054 ,        66,        68,        99,        78,        54
        0.059 ,        66,        68,        99,        78,        54
        0.063 ,        66,        69,        99,        78,        54
        0.068 ,        66,        68,        99,        78,        54
        0.072 ,        66,        68,        99,        78,        54
        0.077 ,        66,        68,        99,        78,        54
        0.081 ,        66,        68,        99,        78,        54
        0.086 ,        66,        68,        99,        78,        54
        0.090 ,        66,        68,        99,        78,        54
        0.095 ,        66,        68,        99,        78,        54
        0.099 ,        66,        68,        99,        78,        54
        0.104 ,        66,        68,        99,        78,        54
        0.108 ,        66,        68,        99,        78,        54
        0.113 ,        66,        68,        99,        78,        54
        0.117 ,        66,        68,        99,        78,        54
        0.122 ,        66,        68,        99,        79,        54
        0.126 ,        66,        68,        99,        78,        54
        0.131 ,        66,        68,        99,        78,        54
        0.135 ,        66,        68,        99,        78,        54
        0.140 ,        66,        68,        99,        78,        54
        0.144 ,        66,        68,        99,        78,        54
        0.149 ,        66,        68,        99,        79,        54
        0.153 ,        66,        68,        99,        78,        54
        0.158 ,        66,        68,        99,        79,        54
        0.162 ,        66,        68,        99,        78,        54
        0.167 ,        66,        68,        99,        78,        54
        0.171 ,        66,        68,        99,        78,        54
        0.176 ,        66,        68,        99,        78,        54
